Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Comparison,Original_ID
ACOT7,31.361111685270895,-0.08840275427796387,0.4556518913382153,-0.19401379860035614,0.8461650774706007,0.9038786025596584,Sarcoidosis_vs_Control,ACOT7
ACOT8,151.70404478134168,-0.11638404143404237,0.23505912166934126,-0.49512667539769134,0.6205107051307348,0.7412908938486229,Sarcoidosis_vs_Control,ACOT8
ACOT9,155.6005569698669,0.4496380270354108,0.29144312500278624,1.5427985375572408,0.12287966443608186,0.2426528168671539,Sarcoidosis_vs_Control,ACOT9
ACOX1,809.5778132106765,0.6105680896135994,0.3058759231022485,1.996129945178778,0.045919780308800145,0.11764468454964504,Sarcoidosis_vs_Control,ACOX1
ACOX2,0.6662736823235549,-1.3680385061549163,3.856418080446247,-0.3547433078097728,0.7227819032922651,,Sarcoidosis_vs_Control,ACOX2
ACOX3,33.80370733100915,-0.11911700338425078,0.46473838623244895,-0.2563098011978547,0.7977116297202652,0.8733648025739891,Sarcoidosis_vs_Control,ACOX3
ACOXL,0.39421818452766344,-0.4660163938262998,4.1887998821856955,-0.11125296193026407,0.9114157547113158,,Sarcoidosis_vs_Control,ACOXL
ACP1,1414.5120374392031,1.2369955630956557,0.3394541667909491,3.6440724083303193,0.00026835786931460147,0.0020371376118515274,Sarcoidosis_vs_Control,ACP1
ACP2,52.57024341808178,-0.8972692136350058,0.45058600012307576,-1.991338420168226,0.04644369428915403,0.11844925918119535,Sarcoidosis_vs_Control,ACP2
ACP5,90.83459555071673,0.7756116113311543,0.4455024804162993,1.7409815779395545,0.0816868077178225,0.18041101262351406,Sarcoidosis_vs_Control,ACP5
ACP6,58.928250284420244,-0.2912943364127287,0.4628176592177606,-0.629393305573225,0.5290915995832145,0.6675641471774179,Sarcoidosis_vs_Control,ACP6
ACPL2,150.39739761457514,-0.03399512054047642,0.34228461840176805,-0.09931828283494032,0.9208855625830017,0.9526037943641676,Sarcoidosis_vs_Control,ACPL2
ACPP,210.7740435407628,-0.762416565529905,0.36398162407927503,-2.0946567493853783,0.03620151658045792,0.09892434033140163,Sarcoidosis_vs_Control,ACPP
ACPT,0.0,,,,,,Sarcoidosis_vs_Control,ACPT
ACR,4.884343493388612,1.1768817004197238,3.17456624059037,0.3707220486918745,0.7108445662509342,,Sarcoidosis_vs_Control,ACR
ACRBP,38.125549823795026,0.6133336597247455,0.4248015652526855,1.4438121464075002,0.1487918243606161,0.27932182161693575,Sarcoidosis_vs_Control,ACRBP
ACRC,22.74253785704387,0.337908292348469,0.4719117285582656,0.7160413100577314,0.47396584143122145,0.6208804013085328,Sarcoidosis_vs_Control,ACRC
ACRV1,0.11943380836611242,0.48773804833464257,5.954393187957517,0.08191230120998225,0.9347164523624721,,Sarcoidosis_vs_Control,ACRV1
ACSBG1,0.398252866053831,-0.48370339963107317,4.514886875813137,-0.10713522020282236,0.9146817062725069,,Sarcoidosis_vs_Control,ACSBG1
ACSBG2,0.14564379130549227,0.4877380483346433,5.954393187957517,0.08191230120998237,0.934716452362472,,Sarcoidosis_vs_Control,ACSBG2
ACSF2,45.39029813177392,0.5925729488812128,0.39604735041741834,1.4962174302054139,0.1345970038207672,0.2589621576834532,Sarcoidosis_vs_Control,ACSF2
ACSF3,63.71768339928085,1.1389834372324337,0.32992032328298565,3.4522985001305377,0.0005558324529460999,0.0037257937819807456,Sarcoidosis_vs_Control,ACSF3
ACSL1,2836.6871254762264,0.08274791644581073,0.4160206326358678,0.1989033955396098,0.8423383133305851,0.9011822385641755,Sarcoidosis_vs_Control,ACSL1
ACSL3,209.62568982612052,0.6575740096744996,0.24471896156605408,2.687057862073383,0.00720844644286434,0.028710784545486374,Sarcoidosis_vs_Control,ACSL3
ACSL4,818.8005039678841,0.4650797736520933,0.27191554182789185,1.7103831966562033,0.08719503619932552,0.18920752953056255,Sarcoidosis_vs_Control,ACSL4
ACSL5,311.5815804119912,-0.09452714915048831,0.2890619647104248,-0.32701344587200637,0.7436577154994723,0.834683135384115,Sarcoidosis_vs_Control,ACSL5
ACSL6,30.250709194339162,0.6516157458206836,0.6944458907134022,0.9383247198011074,0.34807755980725186,0.5022497117607387,Sarcoidosis_vs_Control,ACSL6
ACSM1,1.0513315289828906,0.6551669092887525,2.385237092452113,0.2746758011444541,0.7835653241996948,,Sarcoidosis_vs_Control,ACSM1
ACSM2A,0.0,,,,,,Sarcoidosis_vs_Control,ACSM2A
ACSM2B,0.0,,,,,,Sarcoidosis_vs_Control,ACSM2B
